timestamp;pos_x;pos_y;pos_z;rot_x;rot_y;rot_y
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909801;0,5554054;0,1315864;-0,4241296;0,8928138;-0,07538359
1;-0,1868796;0,0490979;0,5554053;0,1315878;-0,4241271;0,8928149;-0,07538179
1;-0,1868795;0,04909796;0,5554054;0,1315869;-0,4241277;0,8928146;-0,07538324
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868796;0,04909794;0,5554053;0,1315874;-0,4241285;0,8928143;-0,07538214
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909796;0,5554054;0,1315869;-0,4241277;0,8928146;-0,07538324
1;-0,1868795;0,04909806;0,5554054;0,1315865;-0,4241296;0,8928137;-0,07538431
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,4241278;0,8928144;-0,0753856
1;-0,1868795;0,04909807;0,5554054;0,131588;-0,4241274;0,8928143;-0,07538658
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,04909793;0,5554054;0,131586;-0,4241275;0,892815;-0,07538259
1;-0,1868796;0,049098;0,5554054;0,1315874;-0,4241289;0,892814;-0,07538377
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868796;0,04909794;0,5554053;0,1315874;-0,4241285;0,8928143;-0,07538214
1;-0,1868796;0,049098;0,5554054;0,1315874;-0,4241289;0,892814;-0,07538377
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868796;0,04909805;0,5554053;0,1315886;-0,4241274;0,8928143;-0,0753854
1;-0,1868796;0,0490979;0,5554053;0,1315878;-0,4241271;0,8928149;-0,07538179
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,0490981;0,5554054;0,1315876;-0,4241287;0,8928138;-0,07538604
1;-0,1868795;0,04909796;0,5554054;0,1315869;-0,4241277;0,8928146;-0,07538324
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,04909796;0,5554054;0,1315869;-0,4241277;0,8928146;-0,07538324
1;-0,1868795;0,04909793;0,5554054;0,131586;-0,4241275;0,892815;-0,07538259
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,04909794;0,5554054;0,1315855;-0,4241277;0,8928148;-0,07538366
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909809;0,5554054;0,1315853;-0,4241296;0,8928137;-0,07538547
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,04909799;0,5554054;0,1315849;-0,4241276;0,8928148;-0,07538457
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,04909801;0,5554054;0,1315864;-0,4241296;0,8928138;-0,07538359
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868796;0,04909803;0,5554053;0,1315883;-0,4241307;0,8928131;-0,07538233
1;-0,1868795;0,04909797;0,5554054;0,1315859;-0,4241288;0,8928143;-0,07538293
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,04909796;0,5554054;0,1315869;-0,4241277;0,8928146;-0,07538324
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909801;0,5554054;0,1315864;-0,4241296;0,8928138;-0,07538359
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,04909809;0,5554054;0,1315865;-0,424129;0,8928139;-0,07538508
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,04909803;0,5554054;0,1315872;-0,4241278;0,8928145;-0,07538465
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,4241278;0,8928144;-0,0753856
1;-0,1868795;0,04909796;0,5554054;0,1315869;-0,4241277;0,8928146;-0,07538324
1;-0,1868795;0,049098;0,5554054;0,1315856;-0,424129;0,8928142;-0,07538379
1;-0,1868796;0,04909798;0,5554053;0,1315879;-0,4241275;0,8928145;-0,07538372
1;-0,1868796;0,049098;0,5554054;0,1315874;-0,4241289;0,892814;-0,07538377
1;-0,1868796;0,04909803;0,5554053;0,1315902;-0,4241284;0,8928139;-0,07538293
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,04909802;0,5554054;0,1315857;-0,4241296;0,8928139;-0,07538385
1;-0,1868795;0,049098;0,5554054;0,1315856;-0,424129;0,8928142;-0,07538379
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,04909809;0,5554054;0,1315865;-0,424129;0,8928139;-0,07538508
1;-0,1868795;0,04909793;0,5554054;0,131586;-0,4241275;0,892815;-0,07538259
1;-0,1868795;0,04909801;0,5554054;0,1315864;-0,4241296;0,8928138;-0,07538359
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,04909804;0,5554054;0,1315861;-0,4241296;0,8928138;-0,07538418
1;-0,1868795;0,04909806;0,5554054;0,1315865;-0,4241296;0,8928137;-0,07538431
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,4241278;0,8928144;-0,0753856
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909808;0,5554053;0,131588;-0,4241288;0,8928139;-0,07538506
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909803;0,5554054;0,1315872;-0,4241278;0,8928145;-0,07538465
1;-0,1868795;0,04909796;0,5554054;0,1315869;-0,4241277;0,8928146;-0,07538324
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,04909803;0,5554054;0,1315872;-0,4241278;0,8928145;-0,07538465
1;-0,1868795;0,04909803;0,5554053;0,1315871;-0,4241296;0,8928137;-0,07538377
1;-0,1868796;0,049098;0,5554054;0,1315874;-0,4241289;0,892814;-0,07538377
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909804;0,5554054;0,1315861;-0,4241296;0,8928138;-0,07538418
1;-0,1868795;0,04909796;0,5554054;0,1315869;-0,4241277;0,8928146;-0,07538324
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868796;0,049098;0,5554054;0,1315874;-0,4241289;0,892814;-0,07538377
1;-0,1868795;0,04909797;0,5554054;0,1315859;-0,4241288;0,8928143;-0,07538293
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868796;0,049098;0,5554054;0,1315874;-0,4241289;0,892814;-0,07538377
1;-0,1868795;0,04909796;0,5554054;0,1315869;-0,4241277;0,8928146;-0,07538324
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,049098;0,5554054;0,1315859;-0,4241295;0,8928139;-0,07538305
1;-0,1868796;0,049098;0,5554054;0,1315874;-0,4241289;0,892814;-0,07538377
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909803;0,5554054;0,1315872;-0,4241278;0,8928145;-0,07538465
1;-0,1868795;0,04909803;0,5554053;0,1315871;-0,4241296;0,8928137;-0,07538377
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909806;0,5554054;0,1315865;-0,4241296;0,8928137;-0,07538431
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,049098;0,5554054;0,1315856;-0,424129;0,8928142;-0,07538379
1;-0,1868795;0,04909796;0,5554054;0,1315869;-0,4241277;0,8928146;-0,07538324
1;-0,1868795;0,04909806;0,5554054;0,1315865;-0,4241296;0,8928137;-0,07538431
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,04909803;0,5554053;0,1315871;-0,4241296;0,8928137;-0,07538377
1;-0,1868795;0,04909801;0,5554054;0,1315864;-0,4241296;0,8928138;-0,07538359
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,04909798;0,5554054;0,1315878;-0,4241258;0,8928153;-0,07538497
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,04909803;0,5554053;0,1315871;-0,4241296;0,8928137;-0,07538377
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868796;0,0490979;0,5554053;0,1315878;-0,4241271;0,8928149;-0,07538179
1;-0,1868796;0,04909794;0,5554053;0,1315865;-0,4241284;0,8928145;-0,07538138
1;-0,1868796;0,04909798;0,5554053;0,1315879;-0,4241275;0,8928145;-0,07538372
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,04909803;0,5554054;0,1315859;-0,4241296;0,8928137;-0,07538444
1;-0,1868795;0,04909793;0,5554054;0,131586;-0,4241275;0,892815;-0,07538259
1;-0,1868795;0,049098;0,5554054;0,1315859;-0,4241295;0,8928139;-0,07538305
1;-0,1868796;0,0490979;0,5554053;0,1315878;-0,4241271;0,8928149;-0,07538179
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868796;0,04909794;0,5554053;0,1315874;-0,4241285;0,8928143;-0,07538214
1;-0,1868796;0,049098;0,5554054;0,1315874;-0,4241289;0,892814;-0,07538377
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868796;0,04909798;0,5554053;0,1315879;-0,4241275;0,8928145;-0,07538372
1;-0,1868795;0,049098;0,5554054;0,1315859;-0,4241295;0,8928139;-0,07538305
1;-0,1868795;0,04909802;0,5554054;0,1315857;-0,4241296;0,8928139;-0,07538385
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,04909793;0,5554054;0,131586;-0,4241275;0,892815;-0,07538259
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868796;0,049098;0,5554054;0,1315874;-0,4241289;0,892814;-0,07538377
1;-0,1868796;0,049098;0,5554054;0,1315874;-0,4241289;0,892814;-0,07538377
1;-0,1868796;0,049098;0,5554054;0,1315874;-0,4241289;0,892814;-0,07538377
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868795;0,04909803;0,5554054;0,1315872;-0,4241278;0,8928145;-0,07538465
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868796;0,04909801;0,5554053;0,1315895;-0,4241272;0,8928145;-0,0753843
1;-0,1868795;0,04909804;0,5554054;0,1315867;-0,424129;0,8928139;-0,07538442
1;-0,1868796;0,04909794;0,5554053;0,1315865;-0,4241284;0,8928145;-0,07538138
1;-0,1868796;0,04909804;0,5554053;0,1315888;-0,4241287;0,8928139;-0,07538418
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
1;-0,1868795;0,04909802;0,5554054;0,1315857;-0,4241296;0,8928139;-0,07538385
1;-0,1868796;0,04909801;0,5554053;0,1315883;-0,4241296;0,8928136;-0,07538258
1;-0,1868795;0,04909802;0,5554054;0,1315866;-0,4241289;0,8928141;-0,0753835
1;-0,1868796;0,04909794;0,5554053;0,1315874;-0,4241285;0,8928143;-0,07538214
1;-0,1868795;0,04909796;0,5554054;0,1315869;-0,4241277;0,8928146;-0,07538324
1;-0,1868795;0,04909809;0,5554054;0,1315865;-0,424129;0,8928139;-0,07538508
1;-0,1868795;0,04909784;0,5554054;0,1315861;-0,4241253;0,8928159;-0,07538219
1;-0,1868796;0,04909785;0,5554053;0,1315867;-0,4241269;0,8928152;-0,07538095
1;-0,1868795;0,049098;0,5554054;0,1315863;-0,424128;0,8928145;-0,07538416
1;-0,1868795;0,04909804;0,5554054;0,1315862;-0,4241292;0,892814;-0,07538413
